name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt
El Tejocote restaurant,"12384 Palmdale Rd, Victorville, CA 92392",Mexican,adelanto,,,http://places.singleplatform.com/el-tejocote/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
El Montecito Mexican & American Restaurant,"11720 Bartlett Ave, Adelanto, CA 92301",Mexican,adelanto,,,,,,,
Wingstop,"14181 US-395 #201, Victorville, CA 92392",Chicken Wings,adelanto,Casual counter-serve chain serving a variety of chicken wings & sides in an aviation-themed space.,https://www.wingstop.com/location/wingstop-1234-victorville-ca-92392/menu?utm_source=google&utm_medium=distrib&utm_campaign=google-distrib,,,,,
Flame Broiler,"14148 US-395 #3-B, Adelanto, CA 92301",Fast Food,adelanto,"Simple fast-food chain preparing Korean-style meat & rice bowls with no dairy, trans-fat or frying.",http://www.flamebroilerusa.com/,,/giftcard-tc/,/contact/,Gift Card Terms & Conditions,Contact
Del Taco,"14200 US-395, Adelanto, CA 92301",Fast Food,adelanto,"Fast-food chain for Mexican standards like tacos, burritos & quesadillas plus breakfast.",http://www.deltaco.com/,http://places.singleplatform.com/del-taco-202/menu?ref=google,https://deltaco.wgiftcard.com/responsive/landing_responsive/landing/deltaco,contactus,Gift Cards,Contact Us
KFC,"14258 US-395, Adelanto, CA 92301",Chicken,adelanto,"Fast-food chain known for its buckets of fried chicken, plus wings & sides.",https://locations.kfc.com/ca/adelanto/14258-highway-395,https://www.kfc.com/menu/chicken,,https://www.kfc.com/about/contact-us,,Contact Us
Taco Bell,"14181 U.S. Highway 395 Building #C, Victorville, CA 92392",Fast Food,adelanto,"Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.",https://locations.tacobell.com/ca/victorville/14181-u-s--highway-395.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=031603&utm_content=website,https://www.tacobell.com/food?store=031603&utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=031603&utm_content=menu,https://www.tacobell.com/gift-cards,https://www.tacobell.com/contact-us,Gift Cards,Contact Us
Mago,"3762 Piedmont Ave, Oakland, CA 94611",Restaurant,alameda,Stylish neighborhood venue with a rotating menu of wood-fired Northern California fare & drinks.,https://www.magorestaurant.com/,https://www.magorestaurant.com/menus/,/gift/,mailto:info@magorestaurant.com,Gift card,"
Contact us via Email.
"
Trabocco Kitchen and Cocktails,"2213 S Shore Center, Alameda, CA 94501",Italian,alameda,"Stylish, lively restaurant serving locavore Californian & Italian fare & drinks in spacious digs.",http://www.trabocco.com/,http://places.singleplatform.com/trabocco-kitchen-and-cocktails/menu?ref=google,https://trabocco.com/gift-certificate/,https://trabocco.com/contact-us/,Gift Certificate,Contact Us
Angelas Kitchen,"1640 Park St, Alameda, CA 94501",American,alameda,A menu featuring classic American bistro fare & cocktails in a no-frills space with warm decor.,https://angelasalameda.com/,,,contact,,contact
Scolari's Good Eats,"1303 Park St, Alameda, CA 94501",Hamburger,alameda,"Compact go-to for stromboli, burgers & Buffalo fries with optional delivery to the bar next door.",http://www.scolarisgoodeats.com/parkst,,,/contactpark,,"



"
Burma Superstar,"1345 Park St, Alameda, CA 94501",Burmese,alameda,Bustling eatery offering homestyle Burmese specialties in snug & simple surrounds.,https://www.burmainc.com/superstar-oakland-alameda,https://www.burmainc.com/new-page-2,,,,
Pappo,"2320 Central Ave, Alameda, CA 94501",New American,alameda,Casual & rustic eatery for drinks & a menu of New American cuisine made with seasonal ingredients.,http://papporestaurant.com/,,,,,
American Oak,"2319 Santa Clara Ave, Alameda, CA 94501",American,alameda,Refined eatery & bar with an upscale menu of gourmet comfort foods & over 100 whiskeys & bourbons.,http://www.americanoakalameda.com/,,,,,
East Ocean Seafood Restaurant,"1713 Webster St, Alameda, CA 94501",Chinese,alameda,Established choice for Cantonese Chinese fare & dim sum in a banquet hall with opulent Asian decor.,http://www.eastoceanseafoodrestaurant.com/,,,/wedding-clone,,Contact
1400 Bar & Grill,"1400 Webster St, Alameda, CA 94501",Grill,alameda,"Old-school hangout offers a full bar, diverse comfort grub & regular live music in a comfy interior.",http://1400barandgrill.com/,http://1400barandgrill.com/beer/,,mailto:teamcooperakis@gmail.com,,Contact
Mama Papa Lithuania Restaurant,"1241 Park St, Alameda, CA 94501",Lithuanian,alameda,Old-world-chic Lithuanian restaurant & tea house featuring a traditional menu & a beer garden.,http://www.mamapapalithuania.com/,http://places.singleplatform.com/mama-papa-lithuania-restaurant/menu?ref=google,,http://www.mamapapalithuania.com/find-us/,,Find us
Ole's Waffle Shop,"1507 Park St, Alameda, CA 94501",Hamburger,alameda,"This no-frills area diner offers an extensive American breakfast menu, plus steaks & sandwiches.",http://www.oleswaffleshop.com/,http://places.singleplatform.com/oles-waffle-shop/menu?ref=google,,,,
Utzutzu,"1428 Park St, Alameda, CA 94501",Sushi,alameda,"Stylish, diminutive destination that offers highbrow sushi & Japanese fare at cozy counter seats.",https://m.facebook.com/pages/Utzutzu/2140116899608899,,,,,
Cafe Jolie,"1500 Webster St, Alameda, CA 94501",French,alameda,Cozy spot for classic French-American dishes along with live music on the weekends.,http://www.cafejolies.com/,http://places.singleplatform.com/cafe-jolie/menu?ref=google,,,,
Pier 29,"1148 Ballena Blvd, Alameda, CA 94501",Seafood,alameda,"Steak & seafood star in this family-friendly restaurant with a full bar, patio & waterfront views.",,,,,,
Dragon Rouge Bistro Alameda,"2337 Blanding Ave, Alameda, CA 94501",Vietnamese,alameda,Waterfront Vietnamese eatery offers inventive cuisine & a lively bar scene in a contemporary space.,https://dragonrougebythebay.com/,https://dragonrougebythebay.com/menu,,,,
Homeskillet  Alameda,"1363 Park St, Alameda, CA 94501",Breakfast,alameda,This cafe & coffee bar with American breakfast & lunch fare has mismatched furniture & quirky art.,https://homeskillet-alameda.com/,,,/,,Contact Us
C'Era Una Volta,"1332 Park St STE D, Alameda, CA 94501",Italian,alameda,"Local art adorns this bright, bi-level eatery furnishing homestyle Italian dishes paired with wine.",http://www.ceraunavolta.us/,http://places.singleplatform.com/cera-una-volta/menu?ref=google,,https://www.ceraunavolta.us/reservations,,CONTACT US
La Penca Azul,"1440 Park St, Alameda, CA 94501",Mexican,alameda,"Long-running, family-owned Mexican restaurant offering an extensive menu & a bustling tequila bar.",http://www.lapencaazul.com/,http://places.singleplatform.com/la-penca-azul/menu?ref=google,/menu/gift-cards,/contact, GIFT CARDS, Contact
Pasta Pelican Restaurant,"2455 Mariner Square Dr, Alameda, CA 94501",Italian,alameda,"Italian place offering pasta, seafood & wine in a welcoming setting with fireplaces & harbor views.",http://www.pastapelican.com/,https://pastapelican.com/shop,,https://www.pastapelican.com/home/contact-us/,,Contact Us
India Palace,"737 Buena Vista Ave, Alameda, CA 94501",Indian,alameda,"Quaint option for classic Indian cuisine, plus vegetarian options & an all-you-can-eat lunch buffet.",http://www.indiapalacealameda.us/,https://www.mealhi5.com/India-Palace-Alameda/,,,,
Hang Ten Boiler,"2315 Santa Clara Ave, Alameda, CA 94501",Seafood,alameda,Easygoing cafe serving Hawaiian noodles & barbecue & Cajun-style boiled crab & crawfish.,http://www.hangtenboiler.com/,http://places.singleplatform.com/hang-ten-boiler/menu?ref=google,,https://www.hangtenboiler.com/contact-us,,FEEDBACK
Shirasoni Japanese Restaurant,"2660 5th St, Alameda, CA 94501",Japanese,alameda,"Spacious, family-friendly destination for 	teppanyaki, tempura, sushi & other Japanese classics.",,http://places.singleplatform.com/shirasoni/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Yojimbo,"1221 Park St, Alameda, CA 94501",Ramen,alameda,Miniature Japanese eatery serving udon & sushi amid pop culture artwork & anime on TV.,http://www.yojimboalameda.com/,https://www.yojimboalameda.com/,https://www.yojimboalameda.com/shop,https://www.yojimboalameda.com/contact-us,GIFT CERTIFICATE,CONTACT US
Abigail's Moroccan Cuisine,"1132 Ballena Blvd, Alameda, CA 94501",Moroccan,alameda,"Lively, unassuming Moroccan BYOB with bay views, belly dancing & a few outdoor tables.",http://www.abigailsalameda.com/,,,https://v2.myOnlineObjects.com/message/send/1560913777,,Contact Us
Phnom Penh House,"1514 Webster St, Alameda, CA 94501",Cambodian,alameda,This casual Southeast Asian restaurant features Cambodian specialties such as beef on a stick.,http://phnompenhhouse.com/,http://places.singleplatform.com/phnom-penh-house/menu?ref=google,,,,
Neptune's,"630 Central Ave, Alameda, CA 94501",Restaurant,alameda,"Daytime spot for New American dishes with a Southern accent in a modern, welcoming setting.",http://www.neptunesalameda.com/,,,,,
Jim's Coffee Shop,"2333 Lincoln Ave, Alameda, CA 94501",Restaurant,alameda,"Bright diner with comfy booths & a menu of homestyle American breakfasts, burgers & hearty dinners.",https://jimscoffeeshoptogo.com/,https://jimscoffeeshoptogo.com/,,#contact,,Contact Us
Asena,"2508 Santa Clara Ave, Alameda, CA 94501",Mediterranean,alameda,Cozy gray-walled eatery decked with paintings serving Mediterranean cuisine with a Cali twist.,http://www.asenarestaurant.com/,,,http://asenarestaurant.com/contact/,,Contact
Otaez,"1619 Webster St, Alameda, CA 94501",Mexican,alameda,"Vibrant eatery serving authentic Mexican fare such as tacos & chicken mole, plus happy hour drinks.",http://otaezrestaurant.com/,http://places.singleplatform.com/otaez-mexican-restaurant/menu?ref=google,,http://otaezrestaurant.com/contact/,,calling us
China House Restaurant,"2328 Santa Clara Ave, Alameda, CA 94501",Chinese,alameda,,,http://www.chinahousealameda.com/menu,,,,
The Park Street Tavern,"1901 Park St, Alameda, CA 94501",Restaurant,alameda,,http://theparkstreettavern.com/,,,https://theparkstreettavern.com/contact/,,Contact
Toomie's Thai By MeeChoke,"1433 Park St, Alameda, CA 94501",Thai,alameda,"Traditional Thai curries, noodles, fried rice & a menu of favorites served in a standard space.",http://www.toomiesthai.com/,http://www.toomiesthai.com/menu/,,#contact,,Contact
CK,"1544 Webster St, Alameda, CA 94501",Restaurant,alameda,Neighborhood locale with rustic accents serving New American lunch & dinner plus weekend brunch.,http://www.ckrestaurant.com/,,,,,
Alameda Grill,"1520 Park St, Alameda, CA 94501",Hamburger,alameda,,http://www.alamedagrill.com/,http://www.alamedagrill.com/menu.html,,,,
Monkey King At The Brewery,"1708 Park St, Alameda, CA 94501",Asian Fusion,alameda,Cajun-Creole comfort foods are offered at a counter in a graffiti-lined warehouse with beer flights.,http://monkeykingtogo.com/,http://places.singleplatform.com/monkey-king-at-the-brewery/menu?ref=google,,,,
Speisekammer,"2424 Lincoln Ave, Alameda, CA 94501",German,alameda,"Quaint German restaurant & bar offering classic dishes, lots of draft beers & occasional live music.",http://www.speisekammer.com/,http://places.singleplatform.com/speisekammer/menu?ref=google,,,,
Angel Fish Japanese Restaurant,"883 Island Dr C-2, Alameda, CA 94502",Japanese,alameda,Traditional Japanese fare & sake served in a snug space with minimalist decor & a sushi bar.,http://www.angelfishrestaurant.com/,http://places.singleplatform.com/angelfish-restaurant/menu?ref=google,,,,
Wild Ginger,"1239 Park St, Alameda, CA 94501",Chinese,alameda,Unpretentious spot for noodle soups & Szechuan street food served in contemporary environs.,,http://places.singleplatform.com/wild-ginger-54/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Hob Nob,"1313 Park St, Alameda, CA 94501",American,alameda,"Fun local hangout with inventive pub grub, craft cocktails, karaoke, board games & weekend brunch.",http://thehobnobalameda.com/,http://places.singleplatform.com/hobnob/menu?ref=google,,contact.php,,Contact
Spice I Am,"1353 Park St, Alameda, CA 94501",Thai,alameda,Fashionable find with a swanky decor & an upscale vibe specializing in refined Thai cooking.,http://www.spice-i-am.com/,,,http://spice-i-am.com/contact/,,Contact
The Star on Park,"1400 Park St, Alameda, CA 94501",Pizza,alameda,"Subs, salads & Chicago-style pizza in airy digs with exposed-brick walls, chandeliers & a full bar.",http://www.thestaronpark.com/,http://www.thestaronpark.com/menu,/giftcard,/contact,"
            Gift Card
          ","
            Contact
          "
Tomatina,"1338 Park St, Alameda, CA 94501",Italian,alameda,"Pizzas, pastas & flatbread sandwiches, plus wine & sangria, in a casual setting.",http://www.tomatina.com/,http://places.singleplatform.com/tomatina/menu?ref=google,/gift-cards,,Gift Cards,
The Golden Burrito Foods,"2422 Daly St, Los Angeles, CA 90031",Restaurant,alhambra,,,,,,,
Edwin Mills by Equator,"22 Mills Pl, Pasadena, CA 91105",New American,alhambra,Brick-lined gastropub in a historic building offering New American plates & specialty cocktails.,http://edwinmills.com/,http://edwinmills.com/menus/,,http://edwinmills.com/contact-us/,,Contact us
38 Degrees Ale House & Grill,"100 W Main St, Alhambra, CA 91801",New American,alhambra,Wide variety of craft beers & comfort food in a chill spot with dark wood accents & expansive bar.,http://38degreesalehouse.com/,http://www.urbanspoon.com/cities/5-los-angeles/restaurants/1467361-38-degrees-ale-house/menu?utm_source=Google&utm_medium=Local&utm_campaign=GoogleMenus,,https://www.38degreesalehouse.com,,HOURS/CONTACT
Borneo Kalimantan Cuisine,"19 S Garfield Ave, Alhambra, CA 91801",South East Asian,alhambra,Indonesian & Singaporean dishes served in an unpretentious restaurant with a convivial vibe.,,http://places.singleplatform.com/borneo-kalimantan-cuisine/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Savoy Kitchen,"138 E Valley Blvd, Alhambra, CA 91801",Chinese,alhambra,"Eclectic mix of curries, Hainan chicken, pizza, pasta, steak & more in a casual space with a patio.",http://savoykitchen.net/,http://places.singleplatform.com/savoy-kitchen/menu?ref=google,,/contact,,CONTACT
Aloha Food Factory,"2990 W Valley Blvd, Alhambra, CA 91803",Hawaiian,alhambra,Casual mom-&-pop place dishing up classic Hawaiian dishes like the well-known macadamia pancakes.,,http://places.singleplatform.com/aloha-food-factory/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Big Catch Seafood House,"2 S Garfield Ave UNIT 100, Alhambra, CA 91801",Seafood,alhambra,,http://www.thebigcatchseafood.com/,http://bigcatchseafoodhouse.com/alhambra/,,https://bigcatchseafoodhouse.com/contact-us/,,Contact Us
Spanglish Kitchen,"526 N Atlantic Blvd, Alhambra, CA 91801",Mexican,alhambra,,http://www.spanglishkitchen.net/,http://places.singleplatform.com/spanglish-kitchen/menu?ref=google,,,,
Tomomi Sushi,"17 W Main St, Alhambra, CA 91801",Japanese,alhambra,"Roomy Japanese eatery offering sake & a variety of sushi rolls, plus weekday happy-hour specials.",http://tomomisushi.com/,,,https://tomomisushi.com/contact/,,Contact
Charlie's Trio Cafe,"47 W Main St #3510, Alhambra, CA 91801",Italian,alhambra,"Informal restaurant with a TV-equipped bar serving pizza, calzones, pasta & Italian-style seafood.",http://www.charliestriocafe.com/,,,http://charliestriocafe.com/contact-us/,,Contact Us
101 Noodle Express,"1408 E Valley Blvd, Alhambra, CA 91801",Chinese,alhambra,"Classic Chinese dishes, including signature hand-stretched noodle soup, served in a sit-down space.",,,,,,
Ritters SKC,"1800 W Valley Blvd, Alhambra, CA 91803",Cajun,alhambra,,http://www.rittersskc.com/,http://places.singleplatform.com/ritters-skc/menu?ref=google,,/contact-us,,Contact Us
Kosuke,"618-B W Main St, Alhambra, CA 91801",Ramen,alhambra,"A menu featuring an array of ramen, udon, curries, & sushi in a laid-back setting, cash only.",https://kosukeramen.com/,,,,,
Mancora Peruvian Cuisine,"240 W Main St, Alhambra, CA 91801",Peruvian,alhambra,"Classic Peruvian fare, including ceviche, offered in a small, laid-back setting with patio tables.",,http://mancoraperuvian.com/menu.html,,,,
Chonitos Mexican Restaurant,"2505 W Valley Blvd, Alhambra, CA 91803",Mexican,alhambra,"Mexican tacos, tostadas & enchiladas pair with margaritas & beers in a casual, vibrant cantina.",http://www.chonitosmexrest.com/,,,,,Contact Us
Grill 'em All,"19 E Main St, Alhambra, CA 91801",Grill,alhambra,"Unique burgers, fries & beer in a snug spot with a long counter, booths & heavy-metal-band decor.",http://grillemallburgs.com/,http://places.singleplatform.com/grill-em-all/menu?ref=google,,contact.php,,CONTACT
Sage Bistro,"521 W Main St, Alhambra, CA 91801",Bistro,alhambra,,,,,,,
Gen Korean BBQ House,"68 W Main St, Alhambra, CA 91801",Korean BBQ,alhambra,"Local chain offering Korean BBQ grilled tableside & ban-chan in a trendy, modern setting.",http://genkoreanbbq.com/,,,,,
The Chicken Koop,"101 W Main St C, Alhambra, CA 91801",Restaurant,alhambra,"Hawaiian fare is served in a spacious, simple setting with brick walls & a few island touches.",https://www.thechickenkoop.com/,https://www.thechickenkoop.com/menu,,/contact-us,,Contact Us 
Gold Hibachi Buffet,"2223 W Commonwealth Ave, Alhambra, CA 91803",Buffet,alhambra,"Sizable venue for unlimited portions of Japanese favorites like grilled meats, seafood & sushi.",http://www.goldhibachibuffet.com/,http://www.goldhibachibuffet.com/,,/contact-us,,Contact Us
Genovese's Italian Kitchen,"2900 W Main St, Alhambra, CA 91801",Italian,alhambra,"Classic neighborhood pizzeria also offering pasta, subs & take-out service in casual environs.",https://www.facebook.com/genovesesalhambra,,,,,
Nabemono Shabu Shabu,"27 E Main St, Alhambra, CA 91801",Shabu Shabu,alhambra,,http://www.nabemonoshabu.com/,,,/contact,,"
            Contact
          "
Sichuan Impression,"1900 W Valley Blvd, Alhambra, CA 91803",Chinese,alhambra,"Sichuan cuisine in a modern space boasting exposed-brick walls, original art & ornate ceilings.",http://www.sichuanimpressions.com/,http://places.singleplatform.com/szechuan-impression/menu?ref=google,,,,
Mahan Indian Restaurant,"110 W Main St, Alhambra, CA 91801",Indian,alhambra,"Indian eatery for curries, tandoori dishes, biryani & lunch buffets has a warm, casual space.",http://mahanrestaurant.com/,http://mahanindianla.com/menu.html,,contact.html,,Locations
El Vaquerito Restaurant,"14 Fremont Ave, Alhambra, CA 91801",Mexican,alhambra,,http://elvaquerorestaurante.com/,,,,,
Caramba Mexican Food,"3020 W Main St, Alhambra, CA 91801",Mexican,alhambra,"Lively, no-frills joint serving up hearty Mexican fare, including chimichangas, flautas & fajitas.",,,,,,
SideBar Grill,"433 W Main St, Alhambra, CA 91801",Grill,alhambra,,https://sidebar-grill.business.site/,,,,,Contact
Angelo's Italian Restaurant & Pizzeria,"1540 W Valley Blvd, Alhambra, CA 91803",Italian,alhambra,"Easygoing Sicilian-style pizza spot also serving pasta & baked dishes, plus lunch & dinner specials.",,http://places.singleplatform.com/angelos-italian-restaurant/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Yang's Kitchen,"112 W Main St, Alhambra, CA 91801",Asian Fusion,alhambra,"Hip Chinese-fusion noodle shop, with organic & vegetarian options, in a bright, airy space.",http://yangskitchenla.com/,https://www.yangskitchenla.com/mainmenu,https://www.toasttab.com/yangs-kitchen/giftcards,/contact,"
        Gift Cards
      ","
            Contact
          "
Kim Chuy Restaurant or K C Y RESTAURANT,"501 W Valley Blvd, Alhambra, CA 91803",Chinese,alhambra,,,http://places.singleplatform.com/kim-chuy-restaurant-2/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Z Sushi,"1132 N Garfield Ave, Alhambra, CA 91801",Sushi,alhambra,"Contemporary Japanese spot for sushi, grilled fare & small plates in a stylish space.",,http://places.singleplatform.com/z-sushi/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Lee's Garden,"1428 S Atlantic Blvd, Alhambra, CA 91803",Taiwanese,alhambra,,,,,,,
Lunasia Dim Sum House,"500 W Main St, Alhambra, CA 91801",Dim Sum,alhambra,"Dim sum, traditional Chinese dishes & chef specialties in a spacious setting with white tablecloths.",http://www.lunasiadimsum.com/,http://lunasiadimsum.us/weborder/alhambra,,,,
Diner On Main,"201 W Main St, Alhambra, CA 91801",Diner,alhambra,"Retro restaurant preparing American staples for breakfast, lunch & dinner, plus cocktails.",http://www.dineronmainrestaurant.net/,http://dineronmainrestaurant.net/pdf/lunch_dinner.pdf,,,,
Shanghai Yau Fat Restaurant,"1721 W Valley Blvd, Alhambra, CA 91803",Shanghainese,alhambra,,,,,,,
Pepe's Finest Mexican Food,"511 W Valley Blvd, Alhambra, CA 91803",Mexican,alhambra,"Long-running regional chain dishing up Mexican eats, margaritas & more in a kid-friendly space.",,,,,,
The Boiling Crab,"33 W Main St, Alhambra, CA 91801",Seafood,alhambra,"Casual small chain offering boiled-in-bag, Cajun-spiced crawfish, oysters, shrimp & other shellfish.",http://www.theboilingcrab.com/,,https://theboilingcrab.com/gift-cards/,mailto:contact@theboilingcrab.com,GIFT CARDS,contact@theboilingcrab.com
Nadi Myanmar Cafe,"5 N 4th St, Alhambra, CA 91801",Burmese,alhambra,,,,,,,
King Hua Restaurant,"2000 W Main St, Alhambra, CA 91801",Dim Sum,alhambra,Variety of dim sum dishes draw crowds at this popular Chinese restaurant with a small dining room.,http://kinghuarestaurant.com/,,,Contacts.html,,
Chengdu TasteZi Wei Cheng Du ,"828 W Valley Blvd, Alhambra, CA 91803",Chinese,alhambra,,,,,,,
Birdie's Grill,"630 S Almansor St, Alhambra, CA 91801",American,alhambra,,http://birdiesgrill.com/,,,https://managedforexaccount-pamm.blogspot.com/p/contact.html,,Contact
Baccali Rotisserie,"245 W Valley Blvd, Alhambra, CA 91801",Hong Kong style fast food restaurant,alhambra,Hong Kong-style cafe offering Asian & American meat dishes & comfort fare in a high-ceilinged space.,https://baccali.com/,,,,,
Hanashima Restaurant,"1 E Hellman Ave, Alhambra, CA 91801",Japanese,alhambra,,,,,,,
California Hot Pot  Jia Zhou Huo Guo ,,Hot Pot,alhambra,,,,,,,
The Legendary Restaurant,"2718 W Valley Blvd, Alhambra, CA 91803",Chinese,alhambra,This unfussy standby with hanging lanterns & a relaxed vibe serves traditional Chinese meals.,http://thelegendaryrestaurant.business.site/,,,,,Contact
Lupita's Mexican Restaurant,"2620 W Valley Blvd, Alhambra, CA 91803",Mexican,alhambra,,http://www.lupitasmexican.club/?utm_source=google&utm_medium=website&utm_campaign=Lupita's%20Mexican%20Restaurant&utm_term=5c98f7ffeea1da0001a92842,https://app.orderhero.us/lupitas-mexican-restaurant-1627/?utm_source=google&utm_medium=orderNow&utm_campaign=Lupita's%20Mexican%20Restaurant&utm_term=5c98f7ffeea1da0001a92842,,,,
Vittoria Pizza,"2622 W Valley Blvd, Alhambra, CA 91803",Pizza,alhambra,Old-school hub for everyday Italian food like pizza & subs served in checkered-tablecloth environs.,http://vittoriapizza.net/,http://places.singleplatform.com/victorias-pizza-3/menu?ref=google,,,,
Sam Woo Barbeque,"514 Valley Blvd, Alhambra, CA 91803",Chinese,alhambra,Casual Cantonese eatery with late-night hours serving classic fare including BBQ pork & peking duck.,,http://places.singleplatform.com/sam-woo/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Toros Japanese Fusion Seafood,"500 W Main St, Alhambra, CA 91801",Japanese,alhambra,A unique array of sashimi & other seafood bites served in modern environs with a sushi bar seating.,,http://places.singleplatform.com/toros-japanese-fusion-seafood/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
Shabuya,"820 E Valley Blvd, Alhambra, CA 91803",Restaurant,alhambra,,http://www.shabuya.net/,,,http://shabuya.net/contact-us/,,Contact Us
La Parrilla Mexicana,"2938 W Valley Blvd, Alhambra, CA 91803",Mexican,alhambra,"Laid-back joint serving enchiladas, fajitas & other familiar Mexican plates, plus beer & margaritas.",,,,,,
Banh Mi My Tho,"304 W Valley Blvd, Alhambra, CA 91801",Vietnamese,alhambra,"Snug, cash-only Vietnamese counter serve specializing in BBQ meat sandwiches & traditional sides.",http://www.banhmimytho.com/,http://www.banhmimytho.com/menu.html,,/contact-us.html,,"
							Contact Us
						"
Jasmine House Chinese Cuisine,"11 W Main St, Alhambra, CA 91801",Chinese,alhambra,,,http://places.singleplatform.com/jasmine-house-1/menu?ref=google,,http://www.singleplatform.com/menu-lp?ref=google&sp_source=publisher&sp_campaign=google&sp_channel=viral,,
World Seafood Restaurant,"1412 S Garfield Ave, Alhambra, CA 91801",Chinese,alhambra,High-end Cantonese restaurant offers an extensive lunchtime dim dum service plus dinner.,,,,,,
Dog Haus Biergarten Alhambra,"410 E Main St, Alhambra, CA 91801",Hot Dog,alhambra,"Counter-service joint serving gourmet hot dogs, burgers, fresh-cut fries, milkshakes & draft beers.",http://alhambra.doghaus.com/,http://menu.doghaus.com/,,,,
