name,address,type,place,website_url,menu_url,description,gift_card_txt,gift_card_website,contact_website,contact_txt,searched
La Bella Hais Salon,"5 Cornerstone Square, Westford, MA 01886",Beauty salon,acton,http://labellahairstudio.biz/,,,,,http://labellahairstudio.biz/contact/,Contact,1
Posh Nails & Spa,"117 Great Rd, Stow, MA 01775",Nail salon,acton,,,,,,,,1
Tropical Tanning & Nails,"190 Littleton Rd, Westford, MA 01886",Nail salon,acton,,,,,,,,1
Dango's Family Hair Center,"439 Littleton Rd, Westford, MA 01886",Beauty salon,acton,,,,,,,,1
Boston Nails,"132 Great Rd, Stow, MA 01775",Nail salon,acton,,,,,,,,1
Salon Thalia,"189 Main St #1, Maynard, MA 01754",Beauty salon,acton,https://www.supersaas.com/schedule/Salon_Thalia/Saadia,,,,,,,1
Elegant Touch Nails,"38 Thoreau St, Concord, MA 01742",Nail salon,acton,,,,,,,,1
Dalla Nails & Spa,"9 Cornerstone Square #950, Westford, MA 01886",Nail salon,acton,http://www.dallanails.com/,,,,,,,1
New England Cosmetic Surgery Pc,"86 Baker Ave, Concord, MA 01742",Skin care clinic,acton,,,,,,,,1
iColor Nails and Spa,"191 Sudbury Rd, Concord, MA 01742",Nail salon,acton,,,,,,,,1
European Flair The Hair Salon,"1202 Main St, Concord, MA 01742",Hair salon,acton,http://www.europeanflair.com/,,,,,http://europeanflair.com/contact/,Contact,1
Mirror Image,"36 Beaver Brook Rd, Westford, MA 01886",Beauty salon,acton,https://mirrorimage.business.site/,,,,,,Contact,1
VV's Hair Studio,"55B Main St, Maynard, MA 01754",Hair salon,acton,http://www.vvhairstudio.com/contact.html,,,,,contact.html,Contact,1
Au Pair in America Melinda Brooks,"31 7 Star Ln, Concord, MA 01742",Beauty salon,acton,http://www.aupairinamerica.com/,,,,,https://www.aupairinamerica.com/contact_us.asp,contact us,1
Atmosphere Salon,"288 Littleton Rd, Westford, MA 01886",Hair salon,acton,http://atmospheresalonwestford.com/,,,Purchase Gift Certificate,https://atmospheresalonwestford.com/corona-virus/,https://atmospheresalonwestford.com/contact/,Contact,1
A Spa For You,"434 Littleton Rd, Westford, MA 01886",Day spa,acton,http://aspaforyouusa.com/,,,,,,,1
Christine's Day Spa,"510 King St #9, Littleton, MA 01460",Beauty salon,acton,http://christines-spa.com/,,,,,,"

",1
Moodz Spa Salon & Boutique,"19 Pelham Island Rd, Wayland, MA 01778",Beauty salon,acton,http://moodz.com/,,,,,Contact.html,"





Contact


",1
The Glam Room,"288 Littleton Rd #14, Westford, MA 01886",Makeup artist,acton,http://www.theglamroomma.com/,,,,,https://theglamroomma.com/contact/,Contact,1
Shear Madness,"222 Great Rd, Littleton, MA 01460",Hair salon,acton,http://shearmadnesslittleton.com/,,,,,https://www.shearmadnesslittleton.com/contact-us,CONTACT US,1
Elite Hair Design & The Vibe,"270 Littleton Rd # 4, Westford, MA 01886",Hair salon,acton,http://elitehairdesignandthevibe.com/,,,,,,,1
European Wax Center,"9 Cornerstone Square, Westford, MA 01886",Waxing hair removal service,acton,https://locations.waxcenter.com/ma/westford/westford-0661.html,,,,,https://www.waxcenter.com/pages/contact,"
          Contact Us",1
Matthew j designs,"260 Arlington St, Acton, MA 01720",Hairdresser,acton,,,,,,,,1
Labella Hair Studio,"5 Cornerstone Square, Westford, MA 01886",Hair salon,acton,http://labellahairstudio.biz/,,,,,http://labellahairstudio.biz/contact/,Contact,1
Epicenter Medi Spa,"531 King St #3, Littleton, MA 01460",Medical spa,acton,,,,,,,,1
Blush Tan  Acton,"271 Great Rd #25, Acton, MA 01720",Tanning salon,acton,http://blushtan.com/acton,,,"

",https://images.squarespace-cdn.com/content/v1/59e4e4ce692ebe2cf117bfab/1588076114608-PNGUBFZBA1EWJH1M1406/ke17ZwdGBToddI8pDm48kEpVg-ILAPna1wRh-xAJ9fRZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpwEv36x-EUL2-BSQ5feDhwGCbXuJBFqZ-erYzVouT8yOb9TwqchglLQOCYTRn7ZGxI/image-asset.jpeg,https://images.squarespace-cdn.com/content/v1/59e4e4ce692ebe2cf117bfab/1588244593114-UY0JP3K9FAI4UBTXPFVJ/ke17ZwdGBToddI8pDm48kBM17-fXoVgw01Y8f5jrzKpZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpx0xBJ5u9pWgiJWgy9MpFEVxMHm8sbwMWBJqb5fxbPOTCFYqFSty-7DvRxwjLzpOlE/image-asset.jpeg,"

",1
RG Pro Laser,"801 Main St Suite 2, Concord, MA 01742",Laser hair removal service,acton,http://www.rgprolaser.com/,,,"
            Gift Card
          ",/https/wwwgiftflycom/shop/rg-pro-laser1,,,1
Spavia Day Spa  Littleton,"615 Constitution Ave, Littleton, MA 01460",Day spa,acton,https://spaviadayspa.com/littleton-ma/,,,Gift Cards,http://clients.mindbodyonline.com/ws.asp?studioid=791888&stype=42,https://spaviadayspa.com/littleton-ma/contact-us/,Contact Us,1
Hair Cuttery,"505 Constitution Ave, Littleton, MA 01460",Hair salon,acton,https://locations.haircuttery.com/ma/littleton/505-constitution-avenue.html,,,,,http://www.haircuttery.com/about-us/contact-us.html?utm_source=Yext&utm_medium=Pages&utm_campaign=Contact,Contact Us,1
Elements Massage,"149 Great Rd, Acton, MA 01720",Massage therapist,acton,https://elementsmassage.com/acton?utm_medium=yext&utm_source=gmb,,,"
Gift Cards
",https://elementsmassage.com/acton/gift-cards,https://elementsmassage.com/acton/contact-info,Contact Us,1
Headquarters Hair Salon LLC,"8 Central Ave, Ayer, MA 01432",Beauty salon,acton,http://www.headquarters-hair-salon-llc.com/,,,,,/contact,"
                Contact
              ",1
Sky Salon Lincoln,"145 Lincoln Rd, Lincoln, MA 01773",Beauty salon,acton,https://www.skysalonlincoln.com/,,,"
Buy an E-gift card
",https://squareup.com/gift/A6XB3GWKMV748/order?external_source=postoffice-egift-widget&external_token=0IzvhDWw5RdBVlet%20,https://www.skysalonlincoln.com/book-now,Contact/Book,1
Aglow Airbrush Tanning,"168 Great Rd, Acton, MA 01720",Tanning salon,acton,http://aglowairbrushtanning.com/,,,,,/locations,Contact,1
Starz Hair Salon,"365 Boston Post Rd # R, Sudbury, MA 01776",Beauty salon,acton,http://starzsalon.com/,,,,,,,1
Litlocs,,Beauty salon,acton,,,,,,,,1
Hair by Ciarah Vieira,,Beauty salon,acton,,,,,,,,1
Tease Hair Studio,"67 Main St, Hudson, MA 01749",Beauty salon,acton,http://teasehairstudiohudson.com/,,,,,http://teasehairstudiohudson.com/contact-us/,The Info,1
Acton Skin Care,"77 Great Rd #2, Acton, MA 01720",Skin care clinic,acton,http://actonskincare.com/,,,,,http://actonskincare.com/,Contact Us,1
Acton Massage,"481 Great Rd #9, Acton, MA 01720",Massage therapist,acton,https://www.nancyamesmt.com/,,,,,https://www.nancyamesmt.com/contact,Contact,1
Lash By Nanabby,,Beauty salon,acton,,,,,,,,1
Blush Hair Studio,"871 Boston Rd, Groton, MA 01450",Hair salon,acton,http://www.facebook.com/blushhairstudiolc,,,,,#,Contact Blush Hair Studio LC on Messenger,1
Dellaria Salon,"5 Meriam St, Lexington, MA 02420",Beauty salon,acton,http://www.dellaria.com/,,,Gift Cards,https://dellaria-egiftcards.salontarget.com/egift/?guestonly=guestonly,https://www.dellaria.com/contacts/,Contact Corporate Office,1
I Do Nail Bar,"50 Great Rd, Bedford, MA 01730",Nail salon,acton,https://www.idonailbarbedford.com/,,,,,,,1
Bedford Organic Nails And Spa,"64 Great Rd, Bedford, MA 01730",Nail salon,acton,http://www.bedfordorganicnails.com/,,,Giftcards,https://www.bedfordorganicnails.com/shop,https://www.bedfordorganicnails.com/contact,Contact,1
Jerry's Barber Shop,"220 Main St, Acton, MA 01720",Barber shop,acton,,,,,,,,1
Dellaria Salon,"Apex Center, 115 Apex Dr, Marlborough, MA 01752",Beauty salon,acton,http://dellaria.com/,,,Gift Cards,https://dellaria-egiftcards.salontarget.com/egift/?guestonly=guestonly,https://www.dellaria.com/contacts/,Contact Corporate Office,1
Sola Salon Studios,"1400 Worcester St, Natick, MA 01760",Beauty salon,acton,https://www.solasalonstudios.com/locations/natick,,,,,/contact-us,Contact Us,1
New Millennium Beauty Salon,"503 Central St, Lowell, MA 01852",Beauty salon,acton,,,,,,,,1
Ayer Beauty Salon,,Beauty salon,acton,,,,,,,,1
Whole Beauty Salon,"74 Langley Rd, Newton, MA 02459",Beauty salon,acton,https://wholebeautysalon.com/,,,WE ARE PARTNERS WITH SPAWEEK.COM AND SPAFINDER.COM ACCEPTING  GIFT CARDS  ,/services-1,/contact-us,Contact Us,1
188 Fine Men's Salons  Burlington,"62 Second Ave, Burlington, MA 01803",Hair salon,acton,https://eighteeneight.com/burlington-ma/,,,Purchase E-Gift Cards,https://eighteeneight.zenoti.com/webstore?CenterId=aa5cc681-c74d-4355-8bcd-0e43fc0153f2,https://eighteeneight.com/burlington-ma/contact/,CONTACT,1
Dellaria Salon & Spa,"37 Central St, Wellesley, MA 02482",Beauty salon,acton,http://www.dellaria.com/,,,Gift Cards,https://dellaria-egiftcards.salontarget.com/egift/?guestonly=guestonly,https://www.dellaria.com/contacts/,Contact Corporate Office,1
Hair Image,"785 Adams St, Dorchester Center, MA 02124",Beauty salon,adams,,,,,,,,1
Gaily Salon,"421 Adams St, Dorchester, MA 02122",Beauty salon,adams,,,,,,,,1
Studio 291 Salon,"138 Adams St, Newton, MA 02458",Beauty salon,adams,,,,,,,,1
HunterDavid Salon,"1197 Adams St, Dorchester, MA 02124",Hair salon,adams,https://square.com/appointments/book/QERCASARS5JZD/hunterdavidsalon-Boston-ma,,,"
Buy now
",https://squareup.com/gift/DJWDYEAQXGJGW/order,,,1
Marjon Hair Design Inc,"334 Stockbridge Rd, Great Barrington, MA 01230",Hair salon,adams,https://marjonhair.wixsite.com/mysite,,,,,https://marjonhair.wixsite.com/mysite/contact-us,CONTACT US,1
Touch of Class,"11 Washington St, Dorchester, MA 02121",Beauty salon,adams,,,,,,,,1
Blue Bella Salon,"699 Adams St, Quincy, MA 02169",Hair salon,adams,,,,,,,,1
RMP Hair & Co,"443 Bernardston Rd, Greenfield, MA 01301",Hair salon,adams,,,,,,,,1
Cuttin' Loose,"748 Adams St, Dorchester, MA 02122",Beauty salon,adams,,,,,,,,1
Healthy Image,"616 Main St, Williamstown, MA 01267",Medical spa,adams,https://www.healthyimagema.com/,,,,,https://www.healthyimagema.com/contact-us/,Request Appointment,1
Great Clips,"480 Boston Rd Unit 130, Billerica, MA 01821",Beauty salon,adams,https://www.greatclips.com/salons/8810?utm_source=google&utm_medium=organic&utm_campaign=gmb,,Casual salon offering haircuts for adults & kids along with professional styling products for sale.,Gift Card Balance,https://www.greatclips.com/gift-card-balance,https://www.greatclips.com/about-us/contact-us,Contact Us,1
Fulham Salon Newton,"847 Beacon St, Newton Centre, MA 02459",Beauty salon,adams,http://www.fulhamsalon.com/,,,,,//fulhamsalon.com/contact-us,Contact Us,1
Fancy Salon,"640 Gallivan Blvd, Dorchester Center, MA 02124",Beauty salon,adams,,,,,,,,1
Royal Barber Service,"412 Fenn St, Pittsfield, MA 01201",Hair salon,adams,http://royalbarberservice.com/,,,,,,,1
Heads Up Hair Salon,"11 Main St, Natick, MA 01760",Beauty salon,adams,http://salonheadsup.com/,,,,,/contact,"
        Contact Us
      ",1
Blue a complete hair salon,"10 Muzzey St, Lexington, MA 02421",Beauty salon,adams,http://blueacompletehairsalon.com/,,,,,,,1
Sole Tanning,"115 Gas House Ln, Great Barrington, MA 01230",Tanning salon,adams,,,,,,,,1
BOSTON LASH  Eyelash Extensions,"509 E 1st St, South Boston, MA 02127",Beauty salon,adams,http://www.bostonlash.com/,,,,,/contactus,CONTACT US,1
Salon Eva Michelle,"37 Newbury St 4th floor, Boston, MA 02116",Beauty salon,adams,http://www.salonevamichelle.com/,,,,,/contact,"
              Contact
            ",1
Hair Place One,"85 Quincy Ave #4, Quincy, MA 02169",Beauty salon,adams,http://www.hairplaceone.com/,,,,,/hair-salon-quincy-ave-ma-contact-us.html,Contact Us,1
Supercuts Mansfield Crossing,"280 School St J120, Mansfield, MA 02048",Beauty salon,adams,https://www.supercuts.com/locations/ma/mansfield/mansfield-crossing-haircuts-82940.html,,,"
												Gift Cards ",/gift-cards.html,#,Store Contact Number,1
Amaci Salon,"230 Stuart Street South Cove Plaza, Boston, MA 02116",Beauty salon,adams,http://www.amacisalon.com/,,,E-Gift Cards,https://amaci.salontarget.com/egift/?guestonly=guestonly,https://amacisalon.com/contact-us/,Contact,1
Fantasy Nails,,Nail salon,adams,,,,,,,,1
Mimosa Nail,"655 Gallivan Blvd, Boston, MA 02124",Nail salon,adams,,,,,,,,1
Backstage Salon & Spa,"225 Newburyport Turnpike, Rowley, MA 01969",Beauty salon,adams,http://backstagerowley.com/,,,GIFT CARDS,/gift-cards/,/contact/,CONTACT,1
Marie Ann Hair Artistry,"306 Hazard Ave, Enfield, CT 06082",Beauty salon,agawam town,https://www.marieannhair.art/,,,,,,,1
Great Clips,"130 Elm St, Enfield, CT 06082",Beauty salon,agawam town,https://www.greatclips.com/salons/2537?utm_source=google&utm_medium=organic&utm_campaign=gmb,,Casual salon offering haircuts for adults & kids along with professional styling products for sale.,Gift Card Balance,https://www.greatclips.com/gift-card-balance,https://www.greatclips.com/about-us/contact-us,Contact Us,1
Supercuts,"7 Hazard Ave, Enfield, CT 06082",Beauty salon,agawam town,https://www.supercuts.com/locations/ct/enfield/enfield-haircuts-90828.html,,,"
												Gift Cards ",/gift-cards.html,#,Store Contact Number,1
Simply Divine Beauty Lounge,"24 Island Pond Rd, Springfield, MA 01118",Hair salon,agawam town,,,,,,,,1
The Longmeadow Shops,"690 Bliss Rd, Longmeadow, MA 01106",Beauty salon,agawam town,http://www.thelongmeadowshops.com/,,,,,https://thelongmeadowshops.mystagingwebsite.com/#contact,CONTACT,1
DiGrigoli Salon,"1578 Riverdale St, West Springfield, MA 01089",Hair salon,agawam town,http://www.digrigoli.com/,,,,,/salon/contact,Contact Salon,1
MedeirosAntho Wendy L,"271 Carew St, Springfield, MA 01104",Beauty salon,agawam town,http://www.mercycares.com/,,,,,contactus-31,Contact Us,1
Walgreens,"60 Springfield St, Agawam, MA 01001",Beauty supply store,agawam town,https://www.walgreens.com/locator/walgreens-60+springfield+st-agawam-ma-01001/id=4358,,"Drugstore chain with health & beauty aids, prescriptions & photo services, plus mini-mart basics.",Walgreens Gift Cards,/store/c/walgreens-gift-cards/ID=362240-tier3,/store/c/contact-lenses/ID=359432-tier2clense,Contact Lenses,1
Masterpiece Barber Spa,"289 Springfield St, Agawam, MA 01001",Barber shop,agawam town,,,,,,,,1
LaDermique,"1154 Springfield St, Feeding Hills, MA 01030",Medical spa,agawam town,http://ladermique.com/,,,,,,,1
Agawam Massage & Bodyworks,"430 Main St #106, Agawam, MA 01001",Day spa,agawam town,,,,,,,,1
Zenergy Spa,"13 S Bridge Dr, Agawam, MA 01001",Spa,agawam town,https://www.z-energyspa2.com/,,,,,https://www.z-energyspa2.com/contact_us,Contact us,1
Bar Beauty  Alta Moda,"906 Shaker Rd, Longmeadow, MA 01106",Hair salon,agawam town,http://www.barbeautyataltamoda.com/,,,,,http://www.barbeautyataltamoda.com/home/contact/,Contact,1
Darker Image,"303 Walnut St, Agawam, MA 01001",Tanning salon,agawam town,http://www.darkimagetanning.com/,,,,,http://darkimagetanning.com/contact/,Contact,1
Beach House Tan Agawam,"850 Suffield St, Agawam, MA 01001",Tanning salon,agawam town,http://www.beachhousetan.com/,,,,,https://www.beachhousetan.com/contact/,Locations,1
Mike's Beauty Supply,"1232 Main St, Springfield, MA 01103",Beauty supply store,agawam town,https://www.facebook.com/mikeysbeautysupply/,,,,,#,Contact Mike's Beauty Supply on Messenger,1
King of Cuts Barbershop Agawam,"326 Springfield St, Agawam, MA 01001",Barber shop,agawam town,,,,,,,,1
Scruples Boutique and Day Spa,"325 Hazard Ave, Enfield, CT 06082",Beauty salon,agawam town,http://www.scruplesdayspa.com/,,,E-Gift Certificates,https://swipeit.com/product/637/scruples-salon-and-day-spa,/contact-us,Contact Us,1
CosmoProf,"464 Riverdale St, West Springfield, MA 01089",Beauty supply store,agawam town,https://stores.cosmoprofbeauty.com/ma/wspringfield/salon-supply-wspringfield-ma-6087.html?utm_source=GMBlisting&utm_medium=organic,,,,,/contact-us,ContactUs,1
Young's Beauty Supply,"1341 Main St, Springfield, MA 01103",Beauty supply store,agawam town,,,,,,,,1
Puffer's Salon & Day Spa,"56 Southwick Rd, Westfield, MA 01085",Day spa,agawam town,http://www.pufferdayspa.com/,,,Gift Certificates,http://pufferdayspa.millenniumegift.com/,contact-about.html,Contact,1
Pure Massage and Bodywork,"46 Suffield St, Agawam, MA 01001",Massage therapist,agawam town,http://puremassageandbodywork.com/,,,,,contact.html,Contact,1
Agawam Barber,"16 Hastings St, Feeding Hills, MA 01030",Barber shop,agawam town,,,,,,,,1
New England Cuts Barber Shop LLC,"709 Main St, Agawam, MA 01001",Barber shop,agawam town,,,,,,,,1
SalonCentric,"1458 Riverdale St Suite C, Springfield, MA 01089",Beauty supply store,agawam town,http://www.saloncentric.com/,,,,,/requestsalesconsultant,Request a sales consultant,1
Dermique,"1154 Springfield St, Feeding Hills, MA 01030",Skin care clinic,agawam town,http://ladermique.com/,,,,,,,1
Sally Beauty,"935 Riverdale St, West Springfield, MA 01089",Beauty supply store,agawam town,https://www.sallybeauty.com/store-details/?showMap=true&horizontalView=true&lat=42.130394&long=-72.622205_utm_source=GMBlisting&utm_medium=organic,,"Cosmetics chain offering brand-name beauty products & supplies, including salon equipment.",Gift Cards,/hair/gift-cards/,https://www.sallybeauty.com/customer-service/email-sally/,Contact Us,1
Sally Beauty,"95 Elm St, Enfield, CT 06082",Beauty supply store,agawam town,https://www.sallybeauty.com/store-details/?showMap=true&horizontalView=true&lat=41.999654&long=-72.583441_utm_source=GMBlisting&utm_medium=organic,,"Cosmetics chain offering brand-name beauty products & supplies, including salon equipment.",Gift Cards,/hair/gift-cards/,https://www.sallybeauty.com/customer-service/email-sally/,Contact Us,1
Sally Beauty,"1309 Liberty St, Springfield, MA 01104",Beauty supply store,agawam town,https://www.sallybeauty.com/store-details/?showMap=true&horizontalView=true&lat=42.137504&long=-72.579304_utm_source=GMBlisting&utm_medium=organic,,"Cosmetics chain offering brand-name beauty products & supplies, including salon equipment.",Gift Cards,/hair/gift-cards/,https://www.sallybeauty.com/customer-service/email-sally/,Contact Us,1
CosmoProf,"464 Riverdale St, West Springfield, MA 01089",Beauty supply store,agawam town,https://stores.cosmoprofbeauty.com/ma/wspringfield/salon-supply-wspringfield-ma-6087.html?utm_source=GMBlisting&utm_medium=organic,,,,,/contact-us,ContactUs,1
Tony's Famous Barber Shop,"1153 Main St, Springfield, MA 01103",Barber shop,agawam town,https://tonys-famous-barber-shop.business.site/,,,,,,Contact,1
DiGrigoli School of Cosmetology,"1578 Riverdale St, West Springfield, MA 01089",Beauty school,agawam town,http://www.digrigoli.com/school,,,,,/school/contact,Contact School,1
Wicked Hair & Nails,"285 Central St STE 105, Leominster, MA 01453",Hair salon,alford,,,,,,,,1
St Cyr Salon & Spa,"235 Park Ave, Worcester, MA 01609",Beauty salon,alford,http://stcyrsalon.com/,,,,,contact.html,Contact,1
Divine Nails & Hair Spa,"70 Worcester Rd, Webster, MA 01570",Nail salon,alford,https://m.facebook.com/DivineNHS/posts,,,,,,,1
Manestream Day Spa,"10 Prospect St, Leominster, MA 01453",Beauty salon,alford,,,,,,,,1
New Leaf Salon and Spa,"290 W Main St, Northborough, MA 01532",Beauty salon,alford,http://www.newleafsalon.com/,,,,https://newleaf.salontarget.com/egift/?guestonly=guestonly,https://www.newleafsalon.com/contact-us,CONTACT,1
Aldalys Beauty Salon,"130 S Union St, Lawrence, MA 01843",Beauty salon,alford,,,,,,,,1
Salon Elan,"9 Summer St Suite 102, Franklin, MA 02038",Beauty salon,alford,http://www.salonelan.com/,,,,,,,1
Carman's Beauty Salon,"764 Huntington Ave, Boston, MA 02115",Beauty salon,alford,,,,,,,,1
As You Like It Hair Salon,"452 Great Rd, Acton, MA 01720",Beauty salon,alford,http://www.asyoulikeithairsalon.com/,,,,,,,1
Latino Beauty Salon,"3125 Washington St, Roxbury, MA 02119",Beauty salon,alford,http://www.latinobeautysalonboston.com/,,,,,https://latinobeautysalonboston.com/contact/,Contact Us,1
EYEFUL Beauty,"33 Middle St, Lowell, MA 01852",Beauty salon,alford,http://eyefulbeauty.com/,,,Purchase Gift Certificates,https://www.eyefulbeauty.com/book-now,https://www.eyefulbeauty.com,CONTACT,1
Dep Beauty Salon,"302 Westford St, Lowell, MA 01851",Beauty salon,alford,https://www.facebook.com/lowell978salon/,,,,,#,Contact Dep Beauty Salon on Messenger,1
Sophia Beauty Salon,"314 Centre St, Jamaica Plain, MA 02130",Beauty salon,alford,,,,,,,,1
Ultra Beauty Salon,"401 Centre St, Jamaica Plain, MA 02130",Beauty salon,alford,http://www.ultrabeautysalon.com/,,,,,/contact,Contact Us,1
Wiliana's Beauty Salon,"4290 Washington St, Roslindale, MA 02131",Beauty salon,alford,,,,,,,,1
Vibrant Beauty Salon,"585 Massachusetts Ave, Boston, MA 02118",Nail salon,alford,http://vibrantbeautysalon.com/,,,,,https://vibrantbeautysalon.com/contact-us/,Contact Us,1
Minas Hair Salon,"154 Chelsea St #1, Boston, MA 02128",Beauty salon,alford,https://m.facebook.com/Minas-Beauty-Hair-Salon-1053439938024196/,,,,,,,1
Lavish the Salon,"30 Chapman St, Greenfield, MA 01301",Hair salon,alford,,,,,,,,1
Salon Reyna,"4 Railroad Ave, Bedford, MA 01730",Beauty salon,alford,http://www.thesalonreyna.com/,,,,,https://thesalonreyna.com/contact/,Contact,1
Beauty Stylists,"405 Main St, Woburn, MA 01801",Beauty salon,alford,http://www.beautystylistwoburn.com/,,,,,,,1
Fernanda's Beauty Salon,"317 Broadway, Somerville, MA 02145",Beauty salon,alford,http://fernandasbeautysalon.com/,,,"
        GIFT CARDS
      ",https://squareup.com/gift/03NFF9WHQ5XXZ/order,/contact-us,"
        Contact
      ",1
Brian Richards Salon,"456 W Central St #3, Franklin, MA 02038",Beauty salon,alford,http://www.brianrichardsalon.com/,,,,,contact.html,Contact,1
Simply Divine Beauty Lounge,"24 Island Pond Rd, Springfield, MA 01118",Hair salon,alford,,,,,,,,1
Sky Salon Lincoln,"145 Lincoln Rd, Lincoln, MA 01773",Beauty salon,alford,https://www.skysalonlincoln.com/,,,"
Buy an E-gift card
",https://squareup.com/gift/A6XB3GWKMV748/order?external_source=postoffice-egift-widget&external_token=0IzvhDWw5RdBVlet%20,https://www.skysalonlincoln.com/book-now,Contact/Book,1
Fantastic Hair Beauty Salon,"46 Blue Hill Avenue, Roxbury, MA 02119",Beauty salon,alford,,,,,,,,1
Supercuts Milford Shopping Center,"91 Medway Rd #11, Milford, MA 01757",Beauty salon,alford,https://www.supercuts.com/locations/ma/milford/milford-shopping-center-haircuts-8447.html,,,"
												Gift Cards ",/gift-cards.html,#,Store Contact Number,1
Bella Sisters Salon & Spa,"321 Speen St, Natick, MA 01760",Beauty salon,alford,https://www.bellasisters.net/,,"Plaza-based salon with an extensive menu of skin & hair treatments, like facials, waxing & styling.","  

Buy Gift Certificates
",https://www.thegiftcardcafe.com/cart/index.php?storeID=12512,/contact," Contact

",1
Structure Beauty Salon,"1Charles st, Dorchester, MA 02122",Beauty salon,alford,https://m.facebook.com/pages/Structure-Beauty-Salon/103943736337675,,,,,,,1
Salon Essence,"298 Main St, Wilmington, MA 01887",Beauty salon,alford,http://www.salonessence.net/,,,,,contact.php,CONTACT,1
Suite 2 Beauty Bar,"155 Broadway Rd #2, Dracut, MA 01826",Beauty salon,alford,http://www.suite2beautybar.com/,,,,,https://www.suite2beautybar.com/contact-us/,Contact Us,1
Sei Bella Salon,"49 Boltwood Walk, Amherst, MA 01002",Hair salon,alford,http://www.seibellasalon.com/,,,,,https://www.seibellasalon.com,CONTACT,1
Kaya Beauty Spa & Salon,"92 Highland Ave, Somerville, MA 02143",Hair salon,alford,http://www.kayabeautyspa.com/,,,https://go.booker.com/location/Kayabeautyspa/buy/gift-certificate,https://go.booker.com/location/Kayabeautyspa/buy/gift-certificate,/contact-us--book-online.html,"
				Contact us & Book Online
			",1
Creative Images Beauty Salon,"644 Pleasant St, Attleboro, MA 02703",Beauty salon,alford,http://www.creativeimagesbeautysalon.com/,,,,,,,1
Salon Lison,"620 Hammond St, Chestnut Hill, MA 02467",Beauty salon,alford,http://www.salonlison.com/,,,,,,,1
salon invi,"28 Chestnut St, Andover, MA 01810",Beauty salon,alford,http://saloninvi.com/,,,,,http://saloninvi.com/contact/,Contact,1
Rizos Beauty Salon,"137 Meridian St, East Boston, MA 02128",Beauty salon,alford,,,,,,,,1
Beaucage Salon and Spa,"71 Newbury St, Boston, MA 02116",Beauty salon,alford,http://www.beaucage.com/,,,,,,,1
Supercuts,"22 South St #105, Hopkinton, MA 01748",Beauty salon,alford,https://www.supercuts.com/locations/ma/hopkinton/supercuts-haircuts-81009.html,,,"
												Gift Cards ",/gift-cards.html,#,Store Contact Number,1
Mike's Beauty Salon,"722 Stafford Rd, Fall River, MA 02721",Beauty salon,alford,,,,,,,,1
